"Search for other pickup points by postcode.","Search for other pickup points by postcode."
"Search,"Search"
"Reset","Reset"
"Sorry, the request cannot be handled with unknown reason, please try again.","Sorry, the request cannot be handled with unknown reason, please try again."
"Pickup Points","Pickup Points"
"Not Found!","Not Found!"
"PICKUP POINT","PICKUP POINT"
"Change","Change"
"This shipping method has no pickup point.","This shipping method has no pickup point."
"Other","Other"
"Manage Parcels","Manage Parcels"
"#","#"
"Code","Code"
"Tracking Code (Send)","Tracking Code (Send)"
"Tracking Code (Return)","Tracking Code (Return)"
"Actions","Actions"
"Create","Create"
"Create the package cards","Create the package cards"
"Download","Download"
"Edit","Edit"
"Delete","Delete"
"Are you sure to delete this parcel?","Are you sure to delete this parcel?"
"Contents","Contents"
"Weight Unit","Weight Unit"
"Weight Amount","Weight Amount"
"Monetary Value","Monetary Value"
"Dimensions Unit","Dimensions Unit"
"Width","Width"
"Depth","Depth"
"Height","Height"
"Toppleable","Toppleable"
"Yes","Yes"
"No","No"
"Stackable","Stackable"
"Fragile","Fragile"
"Warehouse","Warehouse"
"Creating ... ","Creating ... "
"Cancel","Cancel"
"Save","Save"
"days","days"
